image_id,filename,width,height,category_id,category,bbox_x_min,bbox_y_min,bbox_width,bbox_height
0,batch_1/000006.jpg,1537,2049,6,Glass bottle,517.0,127.0,447.0,1322.0
1,batch_1/000008.jpg,1537,2049,18,Meal carton,1.0,457.0,1429.0,1519.0
1,batch_1/000008.jpg,1537,2049,14,Other carton,531.0,292.0,1006.0,672.0
2,batch_1/000010.jpg,1537,2049,5,Clear plastic bottle,632.0,987.0,500.0,374.0
2,batch_1/000010.jpg,1537,2049,7,Plastic bottle cap,632.0,989.0,44.0,51.0
3,batch_1/000019.jpg,2049,1537,5,Clear plastic bottle,209.0,920.0,454.0,562.0
3,batch_1/000019.jpg,2049,1537,5,Clear plastic bottle,1212.0,822.0,179.0,446.0
3,batch_1/000019.jpg,2049,1537,7,Plastic bottle cap,634.0,1442.0,29.0,39.0
3,batch_1/000019.jpg,2049,1537,12,Drink can,589.0,548.0,341.0,405.0
4,batch_1/000026.jpg,1537,2049,12,Drink can,556.0,944.0,490.0,336.0
5,batch_1/000047.jpg,2049,1537,10,Food Can,1205.0,47.0,623.0,721.0
5,batch_1/000047.jpg,2049,1537,10,Food Can,309.0,11.0,581.0,820.0
5,batch_1/000047.jpg,2049,1537,4,Other plastic bottle,189.0,751.0,1617.0,589.0
5,batch_1/000047.jpg,2049,1537,7,Plastic bottle cap,189.0,903.0,205.0,226.0
5,batch_1/000047.jpg,2049,1537,50,Pop tab,569.0,137.0,227.0,108.0
5,batch_1/000047.jpg,2049,1537,50,Pop tab,1540.0,171.0,246.0,111.0
6,batch_1/000055.jpg,1537,2049,11,Aerosol,515.0,439.0,357.0,1125.0
7,batch_1/000001.jpg,2049,1537,5,Clear plastic bottle,826.0,744.0,464.0,205.0
7,batch_1/000001.jpg,2049,1537,7,Plastic bottle cap,1254.0,777.0,36.0,47.0
8,batch_1/000005.jpg,1537,2049,5,Clear plastic bottle,824.0,557.0,89.0,236.0
9,batch_1/000007.jpg,1537,2049,10,Food Can,730.0,126.0,275.0,609.0
9,batch_1/000007.jpg,1537,2049,23,Glass cup,804.0,0.0,222.0,160.0
9,batch_1/000007.jpg,1537,2049,50,Pop tab,781.0,125.0,85.0,57.0
10,batch_1/000012.jpg,1537,2049,6,Glass bottle,379.0,1127.0,425.0,318.0
10,batch_1/000012.jpg,1537,2049,39,Other plastic wrapper,904.0,1083.0,37.0,26.0
11,batch_1/000014.jpg,1537,2049,57,Styrofoam piece,1072.0,983.0,124.0,147.0
11,batch_1/000014.jpg,1537,2049,57,Styrofoam piece,914.0,1308.0,243.0,187.0
11,batch_1/000014.jpg,1537,2049,12,Drink can,672.0,1069.0,219.0,161.0
11,batch_1/000014.jpg,1537,2049,36,Plastic film,401.0,1033.0,273.0,273.0
11,batch_1/000014.jpg,1537,2049,14,Other carton,836.0,1010.0,339.0,207.0
11,batch_1/000014.jpg,1537,2049,29,Other plastic,775.0,910.0,159.0,99.0
12,batch_1/000048.jpg,2049,1537,4,Other plastic bottle,1527.0,460.0,415.0,1033.0
12,batch_1/000048.jpg,2049,1537,5,Clear plastic bottle,579.0,521.0,322.0,921.0
12,batch_1/000048.jpg,2049,1537,6,Glass bottle,211.0,1.0,417.0,1417.0
12,batch_1/000048.jpg,2049,1537,16,Drink carton,1208.0,611.0,369.0,882.0
12,batch_1/000048.jpg,2049,1537,16,Drink carton,863.0,608.0,353.0,860.0
12,batch_1/000048.jpg,2049,1537,7,Plastic bottle cap,1677.0,460.0,211.0,98.0
12,batch_1/000048.jpg,2049,1537,7,Plastic bottle cap,1325.0,663.0,155.0,115.0
12,batch_1/000048.jpg,2049,1537,7,Plastic bottle cap,969.0,636.0,146.0,124.0
12,batch_1/000048.jpg,2049,1537,7,Plastic bottle cap,610.0,521.0,185.0,97.0
12,batch_1/000048.jpg,2049,1537,8,Metal bottle cap,212.0,1.0,169.0,103.0
13,batch_1/000053.jpg,1537,2049,5,Clear plastic bottle,398.0,410.0,1134.0,998.0
13,batch_1/000053.jpg,1537,2049,7,Plastic bottle cap,1336.0,410.0,196.0,210.0
13,batch_1/000053.jpg,1537,2049,36,Plastic film,0.0,1.0,338.0,664.0
13,batch_1/000053.jpg,1537,2049,45,Disposable food container,0.0,369.0,487.0,319.0
14,batch_1/000056.jpg,1537,2049,4,Other plastic bottle,419.0,8.0,713.0,1854.0
15,batch_1/000058.jpg,1537,2049,4,Other plastic bottle,150.0,328.0,568.0,1304.0
15,batch_1/000058.jpg,1537,2049,4,Other plastic bottle,802.0,405.0,547.0,1404.0
15,batch_1/000058.jpg,1537,2049,7,Plastic bottle cap,971.0,405.0,296.0,191.0
16,batch_1/000060.jpg,1537,2049,11,Aerosol,750.0,244.0,402.0,1467.0
16,batch_1/000060.jpg,1537,2049,33,Normal paper,1205.0,989.0,332.0,602.0
17,batch_1/000003.jpg,1537,2049,20,Paper cup,714.0,1093.0,234.0,237.0
18,batch_1/000011.jpg,1537,2049,12,Drink can,522.0,1168.0,240.0,122.0
19,batch_1/000032.jpg,1537,2049,12,Drink can,503.0,808.0,445.0,357.0
19,batch_1/000032.jpg,1537,2049,50,Pop tab,510.0,953.0,78.0,61.0
20,batch_1/000040.jpg,2049,1537,10,Food Can,285.0,402.0,472.0,624.0
20,batch_1/000040.jpg,2049,1537,10,Food Can,1450.0,379.0,514.0,612.0
20,batch_1/000040.jpg,2049,1537,50,Pop tab,504.0,451.0,172.0,96.0
20,batch_1/000040.jpg,2049,1537,50,Pop tab,1754.0,479.0,184.0,84.0
21,batch_1/000043.jpg,2049,1537,10,Food Can,602.0,290.0,865.0,1059.0
21,batch_1/000043.jpg,2049,1537,50,Pop tab,923.0,337.0,227.0,277.0
22,batch_1/000049.jpg,1537,2049,12,Drink can,399.0,502.0,483.0,741.0
22,batch_1/000049.jpg,1537,2049,50,Pop tab,451.0,572.0,158.0,73.0
23,batch_1/000054.jpg,1537,2049,11,Aerosol,184.0,898.0,494.0,854.0
23,batch_1/000054.jpg,1537,2049,4,Other plastic bottle,605.0,259.0,379.0,1196.0
23,batch_1/000054.jpg,1537,2049,4,Other plastic bottle,1051.0,202.0,486.0,1078.0
23,batch_1/000054.jpg,1537,2049,7,Plastic bottle cap,1263.0,202.0,273.0,302.0
24,batch_1/000061.jpg,1537,2049,11,Aerosol,274.0,723.0,663.0,846.0
25,batch_1/000021.jpg,2049,1537,6,Glass bottle,852.0,638.0,687.0,291.0
25,batch_1/000021.jpg,2049,1537,39,Other plastic wrapper,256.0,705.0,678.0,417.0
26,batch_1/000022.jpg,2049,1537,6,Glass bottle,647.0,1033.0,820.0,376.0
26,batch_1/000022.jpg,2049,1537,39,Other plastic wrapper,313.0,1400.0,414.0,135.0
27,batch_1/000023.jpg,1537,2049,5,Clear plastic bottle,372.0,1441.0,293.0,221.0
27,batch_1/000023.jpg,1537,2049,12,Drink can,1015.0,979.0,190.0,214.0
27,batch_1/000023.jpg,1537,2049,12,Drink can,904.0,1493.0,168.0,166.0
27,batch_1/000023.jpg,1537,2049,12,Drink can,683.0,1550.0,221.0,103.0
27,batch_1/000023.jpg,1537,2049,12,Drink can,1043.0,792.0,144.0,164.0
27,batch_1/000023.jpg,1537,2049,50,Pop tab,1162.0,1166.0,18.0,27.0
27,batch_1/000023.jpg,1537,2049,7,Plastic bottle cap,371.0,1437.0,31.0,49.0
28,batch_1/000024.jpg,1537,2049,12,Drink can,218.0,1457.0,273.0,273.0
28,batch_1/000024.jpg,1537,2049,12,Drink can,634.0,860.0,227.0,232.0
28,batch_1/000024.jpg,1537,2049,5,Clear plastic bottle,463.0,1112.0,126.0,162.0
29,batch_1/000027.jpg,1537,2049,12,Drink can,668.0,717.0,455.0,655.0
30,batch_1/000028.jpg,1537,2049,45,Disposable food container,351.0,460.0,910.0,683.0
31,batch_1/000030.jpg,1537,2049,12,Drink can,604.0,1052.0,187.0,320.0
32,batch_1/000031.jpg,1537,2049,12,Drink can,470.0,1040.0,413.0,321.0
33,batch_1/000042.jpg,2049,1537,10,Food Can,664.0,619.0,239.0,270.0
33,batch_1/000042.jpg,2049,1537,10,Food Can,1179.0,662.0,286.0,265.0
33,batch_1/000042.jpg,2049,1537,50,Pop tab,753.0,722.0,81.0,113.0
33,batch_1/000042.jpg,2049,1537,50,Pop tab,1318.0,677.0,65.0,98.0
34,batch_1/000050.jpg,1537,2049,12,Drink can,642.0,854.0,833.0,804.0
34,batch_1/000050.jpg,1537,2049,40,Single-use carrier bag,124.0,735.0,392.0,550.0
35,batch_1/000059.jpg,1537,2049,11,Aerosol,656.0,705.0,319.0,841.0
35,batch_1/000059.jpg,1537,2049,33,Normal paper,744.0,551.0,792.0,777.0
35,batch_1/000059.jpg,1537,2049,31,Tissues,975.0,221.0,561.0,326.0
35,batch_1/000059.jpg,1537,2049,13,Toilet tube,1032.0,281.0,28.0,146.0
36,batch_1/000000.jpg,1537,2049,5,Clear plastic bottle,710.0,1225.0,153.0,198.0
37,batch_1/000013.jpg,1537,2049,6,Glass bottle,811.0,1123.0,199.0,350.0
38,batch_1/000015.jpg,1537,2049,36,Plastic film,1346.0,1367.0,191.0,292.0
38,batch_1/000015.jpg,1537,2049,42,Crisp packet,828.0,1058.0,193.0,187.0
39,batch_1/000016.jpg,1537,2049,6,Glass bottle,593.0,934.0,432.0,238.0
40,batch_1/000017.jpg,1537,2049,6,Glass bottle,713.0,530.0,191.0,373.0
41,batch_1/000025.jpg,1537,2049,12,Drink can,323.0,1055.0,487.0,352.0
41,batch_1/000025.jpg,1537,2049,50,Pop tab,749.0,1289.0,25.0,86.0
41,batch_1/000025.jpg,1537,2049,33,Normal paper,1426.0,1294.0,110.0,273.0
42,batch_1/000029.jpg,1537,2049,12,Drink can,652.0,874.0,425.0,689.0
43,batch_1/000035.jpg,1537,2049,4,Other plastic bottle,33.0,230.0,602.0,1316.0
43,batch_1/000035.jpg,1537,2049,4,Other plastic bottle,807.0,103.0,710.0,1613.0
43,batch_1/000035.jpg,1537,2049,23,Glass cup,886.0,522.0,314.0,432.0
44,batch_1/000037.jpg,2049,1537,10,Food Can,929.0,557.0,379.0,500.0
44,batch_1/000037.jpg,2049,1537,10,Food Can,494.0,531.0,372.0,533.0
44,batch_1/000037.jpg,2049,1537,10,Food Can,709.0,271.0,296.0,482.0
44,batch_1/000037.jpg,2049,1537,50,Pop tab,658.0,639.0,137.0,90.0
44,batch_1/000037.jpg,2049,1537,50,Pop tab,781.0,293.0,101.0,76.0
45,batch_1/000045.jpg,2049,1537,10,Food Can,564.0,1303.0,522.0,233.0
45,batch_1/000045.jpg,2049,1537,10,Food Can,0.0,452.0,437.0,504.0
45,batch_1/000045.jpg,2049,1537,10,Food Can,395.0,475.0,424.0,486.0
45,batch_1/000045.jpg,2049,1537,10,Food Can,804.0,465.0,339.0,501.0
45,batch_1/000045.jpg,2049,1537,10,Food Can,1128.0,327.0,496.0,648.0
45,batch_1/000045.jpg,2049,1537,10,Food Can,1583.0,315.0,466.0,669.0
46,batch_1/000038.jpg,2049,1537,10,Food Can,238.0,686.0,401.0,475.0
46,batch_1/000038.jpg,2049,1537,10,Food Can,802.0,410.0,413.0,344.0
46,batch_1/000038.jpg,2049,1537,10,Food Can,1498.0,636.0,405.0,477.0
46,batch_1/000038.jpg,2049,1537,50,Pop tab,392.0,764.0,157.0,80.0
46,batch_1/000038.jpg,2049,1537,50,Pop tab,1134.0,570.0,64.0,83.0
46,batch_1/000038.jpg,2049,1537,50,Pop tab,1719.0,752.0,140.0,98.0
47,batch_1/000065.JPG,3264,2448,27,Plastic lid,53.0,480.0,1041.0,1047.0
